acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
6.854546416,-0.498699787,-0.095816394,-2.326208648,2.967921379,-0.916732472
6.830804391,-0.489888052,-0.093609962,-1.993893127,2.647065014,-0.813600069
6.799020767,-0.476163666,-0.069129731,-1.535526891,2.188698777,-0.561498639
6.808045922,-0.467644073,-0.102143512,-0.882355005,1.879301568,-0.355233833
6.816489988,-0.488724292,-0.139634736,-0.320856365,1.478231111,-0.595876107
6.839332391,-0.479363001,-0.122214488,-0.034377468,1.363639552,-0.297938053
6.829507988,-0.492801132,-0.113279372,0.080214091,1.214670526,-0.25210143
6.838403842,-0.453946763,-0.119312929,0.148969027,1.065701499,-0.320856365
6.867068093,-0.436153679,-0.115007724,0.378152145,0.790681757,-0.160428183
6.839757473,-0.477741114,-0.070887079,0.492743704,0.847977537,0.435447924
6.815938728,-0.445335937,-0.047443818,0.538580327,0.653171886,0.366692989
6.826969773,-0.451208988,-0.097550573,0.847977537,0.492743704,0.423988768
6.811952404,-0.473772086,-0.119257851,0.401070457,0.206264806,0.653171886
6.818162778,-0.493613596,-0.076869097,0.263560586,0.332315521,0.882355005
6.818326831,-0.488003649,-0.07560488,0.137509871,-0.034377468,0.50420286
6.806692777,-0.516875362,-0.050226344,0.366692989,-0.114591559,0.802140913
6.821893691,-0.516297161,-0.057610965,0.721926822,-0.44690708,0.836518381
6.819546722,-0.56814046,-0.043589015,0.721926822,-0.75630429,0.928191628
6.809637205,-0.567756693,-0.023532884,0.641712731,-0.985487408,0.710467666
6.841624352,-0.564326823,-0.051951783,0.733385978,-0.916732472,0.687549354
6.805480655,-0.573588149,-0.043163794,0.859436693,-1.077160655,1.054242343
6.822366706,-0.542138859,-0.033187546,0.928191628,-1.226129682,1.157374746
6.847497601,-0.589684201,-0.046193683,0.847977537,-0.69900851,1.260507149
6.796003573,-0.586606118,-0.049351069,0.389611301,-0.916732472,1.524067735
6.79826633,-0.606806085,-0.024574501,0.50420286,-0.996946564,1.546986047
6.793363874,-0.617322503,-0.039560586,-0.045836624,-0.916732472,1.615740982
6.835906693,-0.634152146,-0.042733024,-0.435447924,-1.065701499,1.615740982
6.839253659,-0.631167454,-0.031147873,-0.95110994,-1.363639552,1.363639552
6.815202048,-0.634856014,-0.066108513,-1.122997278,-1.546986047,1.065701499
6.802598934,-0.640097497,-0.0785962,-1.054242343,-1.363639552,1.249047993
6.827360519,-0.617646331,-0.095681891,-1.134456434,-1.39801702,1.168833902
6.831048008,-0.61814154,-0.086041796,-0.928191628,-1.524067735,1.489690267
6.805878545,-0.642361841,-0.080460651,-0.813600069,-1.340721241,1.581363515
6.795726312,-0.616611768,-0.094767978,-0.916732472,-1.180293058,1.867842412
6.776879736,-0.605534414,-0.132859991,-0.985487408,-1.111538123,1.867842412
6.777989125,-0.608287493,-0.146302379,-1.122997278,-0.75630429,2.005352283
6.708935351,-0.58807595,-0.171994316,-1.031324031,-0.527121172,1.718873385
6.728634866,-0.637679528,-0.156108886,-0.859436693,0.286478898,1.707414229
6.73943152,-0.641732824,-0.11985101,-0.89381416,0.389611301,1.764710009
6.794323916,-0.640982948,-0.119983987,-0.928191628,0.206264806,1.684495918
6.807417941,-0.630937213,-0.100815894,-0.69900851,0.137509871,1.90221988
6.80139257,-0.620411574,-0.098895811,-1.14591559,-0.595876107,2.108484686
6.789026761,-0.601472093,-0.083124212,-1.134456434,-0.515662016,2.016811439
6.764848693,-0.593556208,-0.118457978,-1.386557864,-0.114591559,1.822005789
6.805617586,-0.607818771,-0.102627557,-1.478231111,0.011459156,1.363639552
6.762124991,-0.630318595,-0.078543689,-1.466771956,-0.19480565,1.352180397
6.817236379,-0.591635999,-0.138458338,-1.306343773,-0.05729578,1.741791697
6.792201558,-0.606449687,-0.119754798,-1.409476176,-0.229183118,1.59282267
6.786581637,-0.622288031,-0.096976351,-1.420935332,-0.240642274,1.352180397
6.774420947,-0.60147847,-0.062378016,-1.14591559,-0.25210143,1.546986047
6.779583322,-0.594816205,-0.10205611,-1.134456434,-0.297938053,1.661577606
6.753188279,-0.602380794,-0.081998244,-1.443853644,-0.183346494,1.776169165
6.760104395,-0.573407449,-0.116044833,-1.237588837,2.60E-16,1.501149423
6.739401692,-0.575691217,-0.092743428,-1.077160655,-0.080214091,1.546986047
6.748241636,-0.595914827,-0.081527033,-0.710467666,0.275019742,1.340721241
6.768308658,-0.634211497,-0.09582555,-0.69900851,0.05729578,1.340721241
6.781353641,-0.650898307,-0.100579283,-0.458366236,-0.080214091,1.386557864
6.788021561,-0.621435542,-0.074286418,-0.171887339,-0.05729578,1.077160655
6.779141869,-0.61392893,-0.096010344,-0.206264806,-0.022918312,1.271966305
6.74072161,-0.642365177,-0.093342344,-0.435447924,-0.011459156,1.363639552
6.788015179,-0.631684637,-0.040435236,-0.492743704,0.137509871,0.779222601
6.752957078,-0.613240169,-0.082429361,-0.44690708,0.045836624,0.733385978
6.747275282,-0.632383403,-0.108472712,-0.481284548,-0.103132403,1.042783187
6.76741736,-0.632513092,-0.101354322,-0.366692989,-0.045836624,0.985487408
6.767418678,-0.670675659,-0.08809548,-0.148969027,-0.080214091,0.767763445
6.807834838,-0.680226283,-0.115143129,-0.022918312,-0.19480565,0.515662016
6.801322994,-0.680056472,-0.081639963,-0.011459156,-0.275019742,0.847977537
6.801202018,-0.699438285,-0.06712828,0.126050715,-0.206264806,0.813600069
6.78867722,-0.680022725,-0.133724168,0.137509871,-0.343774677,0.435447924
6.753815844,-0.708727766,-0.143963734,0.286478898,-0.492743704,0.275019742
6.786608066,-0.681284978,-0.062156804,0.275019742,-0.481284548,0.275019742
6.782035174,-0.679413623,-0.087455637,0.217723962,-0.435447924,0.217723962
6.765927838,-0.699243164,-0.062192806,0.137509871,-0.469825392,0.412529612
6.820312952,-0.697613821,-0.066531723,0.171887339,-0.366692989,0.435447924
6.790134208,-0.746443783,-0.08686345,0.44690708,-0.389611301,0.286478898
6.773970407,-0.711701276,-0.101710661,0.011459156,-0.423988768,0.114591559
6.780327562,-0.691481885,-0.083256565,0.229183118,-0.355233833,0.206264806
6.787426599,-0.660980142,-0.061269737,0.022918312,-0.19480565,0.378152145
6.78257381,-0.681561326,-0.067869399,0.011459156,-0.171887339,0.263560586
6.755920583,-0.625754688,-0.065006616,0.045836624,-0.137509871,0.206264806
6.746248787,-0.64700256,-0.114589718,-0.091673247,-0.183346494,-0.011459156
6.755093657,-0.663977293,-0.070859957,0.240642274,-0.389611301,0.160428183
6.727993219,-0.616771279,-0.086976171,0.332315521,-0.618794419,-0.332315521
6.73960133,-0.612593887,-0.072293152,0.847977537,-0.847977537,-0.206264806
6.722391196,-0.611314172,-0.126962602,1.226129682,-0.916732472,-0.492743704
