acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
-0.498699787,-9.693792506,-0.135504843,-2.326208648,2.967921379,-0.916732472
-0.489888052,-9.660216211,-0.132384478,-1.993893127,2.647065014,-0.813600069
-0.476163666,-9.61526738,-0.097764204,-1.535526891,2.188698777,-0.561498639
-0.467644073,-9.628030877,-0.14445274,-0.882355005,1.879301568,-0.355233833
-0.488724292,-9.63997259,-0.197473338,-0.320856365,1.478231111,-0.595876107
-0.479363001,-9.672276625,-0.172837387,-0.034377468,1.363639552,-0.297938053
-0.492801132,-9.65838282,-0.160201224,0.080214091,1.214670526,-0.25210143
-0.453946763,-9.670963459,-0.168733962,0.148969027,1.065701499,-0.320856365
-0.436153679,-9.711500831,-0.162645484,0.378152145,0.790681757,-0.160428183
-0.477741114,-9.672877782,-0.100249469,0.492743704,0.847977537,0.435447924
-0.445335937,-9.639192989,-0.067095691,0.538580327,0.653171886,0.366692989
-0.451208988,-9.654793243,-0.137957343,0.847977537,0.492743704,0.423988768
-0.473772086,-9.633555476,-0.168656071,0.401070457,0.206264806,0.653171886
-0.493613596,-9.642338271,-0.108709319,0.263560586,0.332315521,0.882355005
-0.488003649,-9.642570278,-0.106921446,0.137509871,-0.034377468,0.50420286
-0.516875362,-9.62611724,-0.071030777,0.366692989,-0.114591559,0.802140913
-0.516297161,-9.64761458,-0.081474208,0.721926822,-0.44690708,0.836518381
-0.56814046,-9.644295464,-0.061644176,0.721926822,-0.75630429,0.928191628
-0.567756693,-9.630281291,-0.033280523,0.641712731,-0.985487408,0.710467666
-0.564326823,-9.675517947,-0.073470916,0.733385978,-0.916732472,0.687549354
-0.573588149,-9.62440304,-0.061042823,0.859436693,-1.077160655,1.054242343
-0.542138859,-9.648283523,-0.046934277,0.928191628,-1.226129682,1.157374746
-0.589684201,-9.683823976,-0.065327733,0.847977537,-0.69900851,1.260507149
-0.586606118,-9.611000422,-0.069792951,0.389611301,-0.916732472,1.524067735
-0.606806085,-9.614200444,-0.034753593,0.50420286,-0.996946564,1.546986047
-0.617322503,-9.607267325,-0.055947117,-0.045836624,-0.916732472,1.615740982
-0.634152146,-9.667431957,-0.060433622,-0.435447924,-1.065701499,1.615740982
-0.631167454,-9.672165282,-0.044049745,-0.95110994,-1.363639552,1.363639552
-0.634856014,-9.638151167,-0.093491556,-1.122997278,-1.546986047,1.065701499
-0.640097497,-9.620327672,-0.111151813,-1.054242343,-1.363639552,1.249047993
-0.617646331,-9.655345841,-0.135314627,-1.134456434,-1.39801702,1.168833902
-0.61814154,-9.660560738,-0.121681474,-0.928191628,-1.524067735,1.489690267
-0.642361841,-9.624965742,-0.113788544,-0.813600069,-1.340721241,1.581363515
-0.616611768,-9.610608317,-0.13402216,-0.916732472,-1.180293058,1.867842412
-0.605534414,-9.583955233,-0.187892401,-0.985487408,-1.111538123,1.867842412
-0.608287493,-9.585524147,-0.206902808,-1.122997278,-0.75630429,2.005352283
-0.58807595,-9.487867362,-0.243236694,-1.031324031,-0.527121172,1.718873385
