dmo,cohort,free_living_min,free_living_max,laboratory_min,laboratory_max,literature_min,literature_max,global_min,global_max
cadence_spm,CHF,40.5947698,167.94292992,53.61770278,122.65715836,36.2,150.9,None,None
cadence_spm,COPD,38.88048357,151.55871844,59.45100369,164.96976428,71.2,154.8,None,None
cadence_spm,HA,35.751898,156.94695478,60.17664439,146.30939262,90.4,169.2,None,None
cadence_spm,MS,38.44321135,155.394496,44.01614905,140.9395966,45.6,164.4,None,None
cadence_spm,PD,40.9579695,142.12194686,47.68157571,147.05484915,33.8,77.6,None,None
cadence_spm,PFF,42.19171892,157.61366515,46.83940415,133.12927576,42.9,172.9,None,None
cadence_spm,ALL,None,None,None,None,None,None,40,172.9
walking_speed_mps,CHF,0.11247848,1.7571035,0.27340101,1.52891291,0.63,1.83,None,None
walking_speed_mps,COPD,0.09073083,1.64177345,0.15968929,1.91814618,0.6,1.84,None,None
walking_speed_mps,HA,0.09741348,1.96572761,0.20788692,1.58377888,0.78,2.22,None,None
walking_speed_mps,MS,0.08591825,1.92026174,0.2032134,1.87769052,0.52,1.74,None,None
walking_speed_mps,PD,0.08151492,1.73534762,0.13965396,1.93969682,0.56,2.1,None,None
walking_speed_mps,PFF,0.10454679,1.55318618,0.14372351,1.62738331,0.11,1.59,None,None
walking_speed_mps,ALL,None,None,None,None,None,None,0.08151492,2.22
stride_length_m,CHF,0.18530811,2.16664608,0.44404121,1.56858321,0.53,1.86,None,None
stride_length_m,COPD,0.17640257,1.71164461,0.22353705,1.62373302,1.03,2.19,None,None
stride_length_m,HA,0.15512643,2.02469363,0.29028303,1.6696087,0.87,1.98,None,None
stride_length_m,MS,0.19109908,1.94053714,0.36300351,1.72132196,0.72,2.1,None,None
stride_length_m,PD,0.1505232,1.98292594,0.25306851,1.77253583,0.56,1.62,None,None
stride_length_m,PFF,0.20678713,1.69725122,0.23345999,1.5871435,0.71,1.93,None,None
stride_length_m,ALL,None,None,None,None,None,None,0.1505232,2.19
stride_duration_s,CHF,0.702,3.03085714,0.98,2.27454545,0.46,1.32,None,None
stride_duration_s,COPD,0.77,3,0.7275,2.16,0.68,1.41,None,None
stride_duration_s,HA,0.73543463,3.2544,0.82909091,2.142,0.69,2.304,None,None
stride_duration_s,MS,0.77559664,3.05775,0.855,2.73166667,0.69,2.304,None,None
stride_duration_s,PD,0.83625316,2.928,0.81857143,2.522,0.76,1.69,None,None
stride_duration_s,PFF,0.744,2.769,0.90272727,2.58454545,nan,nan,None,None
stride_duration_s,ALL,None,None,None,None,None,None,0.46,3
step_duration_s,CHF,0.376,1.5045,0.498,1.14416667,0.14,0.98,None,None
step_duration_s,COPD,0.3904,1.788,0.366,1.18142857,0.16,0.92,None,None
step_duration_s,HA,0.36797183,1.7304,0.41,1.1375,0.25,1.04,None,None
step_duration_s,MS,0.38808368,1.905,0.43285714,1.36,0.25,1.09,None,None
step_duration_s,PD,0.417216,1.6056,0.415,1.45,0.19,1.1,None,None
step_duration_s,PFF,0.37142857,2.124,0.43,1.32,0.35,1.1,None,None
step_duration_s,ALL,None,None,None,None,None,None,0.14,2.124
